num, ref
49460883, 1819
49461451, 20382
49461668, 20496
49462257, 1324
49462355, 20705
49462529, 20486
49462558, 20496
49462569, 20690
49462570, 20661
49463414, 20187
49464105, 20688
49464107, 20661
49464124, 1806
49464720, 20892
49464721, 20850
49464726, 20834
49464729, 20853
49464730, 20900
49464732, 20849
49464736, 20882
49464738, 20883
49464740, 20899
49464741, 20866
49464743, 20832
49464744, 20861
49465713, 1819
49467814, 1741
49467815, 1738
49467816, 907
49467817, 907
49468211, 1795
49469336, 1698
49470282, 77
49470455, 1763
49471771, 20128
49473502, 1713
49473507, 1743
49473535, 1754
49473544, 1741
49473561, 1712
49473564, 1752
49473719, 1686
49473720, 1663
49473722, 1685
49473724, 1695
49473725, 1680
49473728, 1690
49475275, 1324
49477608, 20577
49477841, 20347
49478576, 806
49479507, 1815
49479509, 1804
49479536, 1805
49479552, 1818
49479565, 1812
49479572, 1815
49479612, 1806
49479640, 1819
49479784, 20963
49480386, 20774
49480389, 7693
49480391, 820
49480426, 20214
49480427, 20566
49480657, 1364
49480754, 1701
49480775, 1733
49483081, 5095
49483460, 72
49483461, 4
49483712, 5395
49483728, 8083
49484075, 2
49484076, 4
49484084, 88
49484086, 70
49484087, 74
49484107, 3
49484118, 72
49484630, 5212
49484795, 5152
49484796, 8042
49484860, 8083
49484940, 4704
49484946, 4705
49484949, 4731
49485013, 5534
49485068, 4443
49485078, 4419
49485306, 20720
49485617, 20278
49485618, 20598
49485671, 7873
49485763, 20800
49485859, 8921
49485959, 1827
49485966, 1832
49485991, 1896
49486007, 2012
49486011, 2000
49486024, 4441
49486034, 1828
49486055, 2017
49486062, 2035
49486091, 2016
49486093, 2001
49486124, 2033
49486127, 2011
49486137, 2038
49487054, 4915
49487177, 1974
49487189, 1997
49487203, 1989
49487205, 1986
49487288, 4915
49487525, 5198
49487591, 4029
49487643, 8720
49487695, 2637
49487712, 2669
49487716, 2633
49488075, 5990
49488077, 5992
49488082, 5981
49488083, 5996
49488084, 5974
49488085, 5989
49488086, 5982
49488087, 5980
49488088, 5993
49488089, 5994
49488109, 5146
49488121, 5197
49488132, 5119
49488138, 5094
49488155, 4807
49488160, 5147
49488166, 5198
49488178, 5095
49488184, 5015
49488194, 4809
49488234, 154
49488236, 4705
49488241, 4444
49488244, 5197
49488254, 5004
49488278, 4314
49488281, 3637
49488284, 5120
49488442, 9590
49488444, 9591
49488450, 9060
49488464, 2014
49488466, 1988
49488494, 1992
49488510, 1987
49488512, 2040
49488523, 154
49488524, 712
49488527, 199
49488532, 4444
49488539, 3637
49488545, 4314
49488548, 5510
49488550, 7292
49488551, 7816
49488556, 292
49488557, 856
49488559, 5692
49488560, 5198
49488565, 7616
49488569, 676
49488570, 5276
49488572, 4964
49488580, 4705
49488586, 1298
49488592, 5120
49488595, 466
49488596, 4002
49488611, 241
49488616, 5198
49488889, 20577
49488908, 8083
49488939, 5901
49488945, 5927
49488950, 5989
49488965, 5756
49489175, 8035
49489183, 8036
49489204, 6393
49489215, 6301
49489264, 7331
49489281, 20800
49489303, 5874
49489320, 4539
49489333, 8891
49489369, 8083
49489384, 5225
49489424, 20333
49489451, 5513
49489452, 5535
49489483, 20331
49489484, 8587
49489489, 5483
49489650, 9177
49489675, 6055
49489692, 20683
49489706, 6556
49489773, 6733
49489819, 6666
49489828, 6601
49489832, 6468
49489835, 20643
49489871, 6603
49489914, 6770
49489918, 6393
49489940, 6653
49489941, 20642
49489945, 6796
49489949, 6775
49489951, 3560
49489953, 6342
49490002, 6407
49490008, 5759
49490026, 20653
49490035, 6785
49490039, 6577
49490076, 8036
49490077, 8292
49490078, 4814
49490088, 7901
49490093, 8265
49490094, 8037
49490096, 4803
49490098, 8098
49490099, 3507
49490103, 8108
49490134, 6577
49490178, 6197
49490184, 6290
49490190, 6211
49490489, 6798
49490500, 7357
49490525, 5585
49490526, 7383
49490528, 7354
49490545, 9112
49490615, 8428
49490649, 2846
49490663, 2960
49490666, 2934
49490667, 8434
49490671, 8421
49490677, 7353
49490701, 20982
49490705, 20958
49490760, 7358
49490785, 8175
49490807, 20072
49490867, 3144
49490912, 3170
49491164, 8332
49491212, 4391
49491291, 20945
49491295, 20987
49491296, 20966
49491411, 8428
49491413, 8420
49491415, 8429
49491417, 8422
49491418, 8424
49491419, 8421
49491426, 20609
49491428, 20646
49491430, 20686
49491432, 20645
49491436, 20672
49491693, 2196
49491717, 7936
49491743, 7942
49491827, 8906
49491846, 20993
49492227, 5756
49492229, 7322
49492230, 7321
49492232, 7331
49492233, 7321
49492235, 7321
49492240, 7322
49492386, 8798
49492462, 8752
49492468, 8746
49492473, 20833
49492475, 9903
49492476, 1663
49492477, 20018
49492478, 20977
49492483, 20033
49492484, 20065
49492486, 20832
49492661, 20607
49492722, 5873
49492764, 8075
49492766, 8080
49492770, 8083
49492773, 8085
49492785, 7331
49492789, 8088
49492791, 8081
49492797, 8089
49492804, 8082
49492847, 3170
49492890, 19
49492902, 5742
49492993, 8291
49492998, 8240
49493001, 8760
49493002, 20034
49493003, 8266
49493006, 20030
49493007, 8395
49493008, 8416
49493012, 8292
49493021, 5342
49493022, 5051
49493023, 5446
49493025, 5056
49493029, 5472
49493030, 4964
49493035, 2968
49493039, 3899
49493046, 5742
49493048, 5743
49493053, 5535
49493060, 5795
49493064, 5510
49493067, 5585
49493077, 6678
49493088, 8734
49493106, 8395
49493121, 7511
49493177, 6785
49493185, 8838
49493231, 8057
49493232, 8707
49493233, 7331
49493244, 5446
49493252, 8786
49493257, 8291
49493273, 8031
49493288, 7330
49493299, 6603
49493321, 8058
49493330, 7097
49493338, 7017
49493346, 8265
49493363, 7641
49493365, 8812
49493376, 8709
49493377, 6992
49493387, 7615
49493390, 8188
49493391, 6835
49493437, 8136
49493458, 8787
49493461, 6577
49493467, 8760
49493471, 8292
49493498, 8865
49493513, 8239
49493520, 5498
49493524, 5483
49493527, 8058
49493532, 5472
49493535, 8057
49493690, 5482
49493702, 20293
49493705, 7383
49493709, 5692
49493747, 5514
49493748, 5420
49493753, 5456
49493756, 5380
49493757, 5585
49493762, 5433
49493775, 5394
49493784, 5225
49493785, 5782
49493786, 8036
49493813, 2820
49493846, 2805
49493860, 8280
49493870, 4432
49493872, 8978
49493876, 8982
49493894, 8413
49493907, 6197
49493909, 5199
49493911, 5329
