num, ordzaar, ref
45926920, 1, 991
45937223, 21, 11
45937237, 29, 19
45937243, 121, 111
45937249, 105, 95
45937255, 143, 133
45937259, 44, 34
45937847, 6, 204
45937870, 8, 998
45937912, 10, 0
45937942, 3, 993
45937970, 4741, 4728
45937976, 7, 997
45937989, 4, 994
45938005, 2, 992
45938246, 3562, 3555
45938300, 114, 104
45938327, 32, 22
45938333, 19, 9
45939032, 99, 89
45939164, 118, 108
45939187, 74, 64
45939193, 57, 47
45939207, 129, 119
45939215, 227, 217
45939741, 138, 128
45939812, 151, 141
45939813, 107, 97
45939823, 55, 45
45939826, 41, 31
45939829, 95, 85
45939867, 162, 152
45939875, 58, 48
45942456, 374, 364
45942732, 177, 167
45944195, 187, 177
45948571, 629, 619
45948596, 275, 265
45949547, 49, 39
45949942, 163, 153
45949985, 297, 287
45950030, 47, 37
45950033, 605, 595
45950073, 84, 74
45950091, 578, 568
45950115, 238, 228
45950127, 525, 515
45950259, 1152, 1137
45950304, 1148, 1133
45950328, 1545, 738
45950332, 161, 151
45950340, 14, 4
45950412, 35, 25
45950456, 473, 463
45950486, 237, 227
45950503, 1201, 1186
45951036, 198, 188
45953257, 153, 143
45953271, 209, 199
45953283, 456, 446
45953450, 92, 82
45953645, 132, 122
45953656, 271, 261
45953825, 12, 2
45954353, 45, 35
45954545, 550, 540
45962205, 462, 452
45962221, 43, 33
45962306, 117, 107
45965384, 189, 179
45965385, 150, 140
45965387, 113, 103
45965411, 79, 69
45965466, 175, 165
45965760, 277, 267
45965801, 305, 295
45967103, 4876, 375
45967238, 106, 96
45967317, 124, 114
45967324, 176, 166
45967371, 185, 175
45969794, 25, 15
45969796, 951, 941
45969985, 484, 474
45970075, 26, 16
45970080, 1663, 1648
45970187, 231, 221
45970214, 171, 161
45970248, 341, 331
45970301, 985, 975
45970481, 50, 40
45970607, 3131, 3124
45970608, 283, 9
45970613, 154, 144
45972886, 315, 305
45972961, 1586, 1571
45972988, 3326, 3319
45978302, 564, 554
45978308, 530, 520
45978311, 1564, 1549
45978316, 748, 738
45978325, 1095, 1080
45978327, 2618, 2607
45978329, 3766, 3759
45978333, 4226, 4213
45978336, 2213, 57
45978337, 539, 529
45978339, 1599, 1584
45978341, 690, 284
45978342, 3707, 3700
45978344, 652, 642
45978346, 1369, 1354
45978347, 555, 545
45978350, 2305, 2294
45978351, 557, 547
45978354, 1025, 1010
45978357, 765, 755
45978358, 510, 500
45978361, 80, 70
45978362, 2743, 2732
45978367, 1027, 1012
45978368, 493, 483
45978370, 4918, 4905
45978371, 2696, 2685
45978375, 594, 584
45978376, 416, 274
45978377, 3676, 3669
45978379, 2196, 2185
45978381, 515, 505
45978382, 410, 400
